City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,punta arenas,-53.15,-70.9167,44.71,87,40,21.85,CL,1661114039
1,ribeira grande,38.5167,-28.7,75.6,73,75,1.14,PT,1661113945
2,jamestown,42.097,-79.2353,73.02,63,100,13.8,US,1661114157
3,port alfred,-33.5906,26.891,55.56,71,0,4.41,ZA,1661114157
4,bengkulu,-3.8004,102.2655,72.79,90,100,4.79,ID,1661114158
5,mogadishu,2.0371,45.3438,76.3,82,22,17.36,SO,1661113898
6,bredasdorp,-34.5322,20.0403,48.22,94,0,5.64,ZA,1661114158
7,saint george,37.1041,-113.5841,96.44,36,0,9.22,US,1661113930
8,ushuaia,-54.8,-68.3,46.06,71,100,12.66,AR,1661114159
9,arraial do cabo,-22.9661,-42.0278,67.96,72,40,10.36,BR,1661114160
10,dehloran,32.6941,47.2679,99.09,11,0,4.54,IR,1661114160
11,sukhobezvodnoye,57.0491,44.8891,59.23,78,13,4.81,RU,1661114161
12,lebu,-37.6167,-73.65,53.42,84,0,16.08,CL,1661114161
13,puerto ayora,-0.7393,-90.3518,73.36,92,92,5.99,EC,1661114162
14,butaritari,3.0707,172.7902,81.27,77,13,13.89,KI,1661113882
15,albany,42.6001,-73.9662,86.36,46,100,1.01,US,1661113797
16,busselton,-33.65,115.3333,48.67,74,42,10.45,AU,1661114163
17,saint-philippe,-21.3585,55.7679,67.59,71,0,7.45,RE,1661114164
18,kodinsk,58.6881,99.1844,45.79,98,99,4.63,RU,1661114164
19,batagay,67.6333,134.6333,50.74,93,83,2.98,RU,1661114165
20,guerrero negro,27.9769,-114.0611,78.26,56,19,14.41,MX,1661113937
21,fortuna,40.5982,-124.1573,63.52,85,0,13.8,US,1661114166
22,puerto lopez,4.0845,-72.956,78.28,74,99,5.5,CO,1661114166
23,mayo,38.8876,-76.5119,82.35,81,40,10.36,US,1661114167
24,talnakh,69.4865,88.3972,42.21,83,89,7.61,RU,1661114167
25,cape town,-33.9258,18.4232,54.12,81,0,1.14,ZA,1661114168
26,georgetown,5.4112,100.3354,78.89,90,20,0.0,MY,1661113980
27,brasileia,-11.0161,-68.7481,84.65,34,3,9.22,BR,1661114168
28,atuona,-9.8,-139.0333,76.53,68,73,16.75,PF,1661114169
29,vardo,70.3705,31.1107,58.35,76,88,13.73,NO,1661113923
30,college,64.8569,-147.8028,68.58,60,75,3.44,US,1661114169
31,tarata,-17.6167,-66.0167,74.62,22,0,9.89,BO,1661114170
32,vostok,46.4856,135.8833,53.26,83,95,4.36,RU,1661114170
33,rikitea,-23.1203,-134.9692,70.9,71,100,16.53,PF,1661114171
34,san isidro,-12.1167,-77.05,60.39,77,100,9.22,PE,1661114171
35,kapaa,22.0752,-159.319,83.48,64,40,14.97,US,1661113993
36,kaitangata,-46.2817,169.8464,45.48,80,100,4.09,NZ,1661114172
37,khatanga,71.9667,102.5,45.73,68,100,7.0,RU,1661114173
38,bilma,18.6853,12.9164,97.48,24,4,8.86,NE,1661114173
39,dawei,14.0833,98.2,75.18,96,100,5.06,MM,1661114174
40,lulea,65.5842,22.1547,59.07,94,100,8.05,SE,1661114175
